name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Frisco Sour,Shake with ice and strain into chilled sour glass. Garnish with lemon and lime.,Whiskies,Cordial or Pony Glass, Bourbon or Rye Whiskey, Fresh lemon juice, Fresh Lime Juice, Benedictine, Lemon and lime wheels,,,,,,,,2 oz,3/4 oz,1/2 oz,1/2 oz,1 oz,,,,,,,
Fratelli Cocktail,Stir with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Straight rye whiskey, Sweet Vermouth, Yellow Chartreuse, Fernet-Branca,,,,,,,,,2 oz,1/2 oz,1/2 oz,1/4 oz,,,,,,,,
Francis The Mule,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Bourbon whiskey, Coffee liqueur, Fresh lemon juice, orgeat or almond syrup, Orange Bitters, Lemon twist,,,,,,,2 oz,1/2 oz,1/2 oz,1/4 oz,2 oz,,,,,,,
Fox River Cocktail,Stir with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Bourbon or Rye Whiskey, Dark creme de cacao, Angostura Bitters,,,,,,,,,,2 oz,1/2 oz,4 oz,,,,,,,,,
Flying Scotchman,Stir with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Blended Scotch Whiskey, Sweet Vermouth, Angostura Bitters, Simple Syrup,,,,,,,,,1 oz,1 oz,1 oz,1/4 oz,,,,,,,,
The Final Ward,Shake with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Straight rye whiskey, Maraschino liqueur, Green Chartreuse, Fresh lemon juice,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,3/4 oz,,,,,,,,
Martini ,serve with an olive. ,Cocktail Classics,Cocktail Glass, Mr. Boston Gin, Dry Vermouth,,,,,,,,,,,1 1/2 oz,3/4 oz,,,,,,,,,,
Fancy Whiskey,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Bourbon or rye whiskey, Angostura Bitters, Triple Sec, Simple Syrup, Lemon twist,,,,,,,,2 oz,1 oz,1/4 oz,1/4 oz,1 oz,,,,,,,
Mandarine Sour,Shake with ice and strain into a sour glass. Decorate with a cherry and orange slice.,Cocktail Classics,Sour Glass, Mandarine Napoleon Liqueur, Lemon Juice,,,,,,,,,,,2 oz,1 oz,,,,,,,,,,
Mandarine Mist,Pack an old-fashioned glass with finely crushed ice. Add Mandarine Napoleon Liqueur and a twist of tangerine peel. Serve with short straws.,Cocktail Classics,Old-Fashioned Glass, Mandarine Napoleon Liqueur,,,,,,,,,,,,1 1/2 oz,,,,,,,,,,,
