name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Moranguito,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",Shot,Shot glass,Absinthe,Tequila,Grenadine,,,,,,,,,,02-May,02-May,01-May, , , , , ,,,,
Moscow Mule,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Punch / Party Drink,Copper Mug,Vodka,Lime juice,Ginger ale,,,,,,,,,,2 oz ,2 oz ,8 oz , , , , , ,,,,
Mother's Milk,"Shake over ice, strain. Serves two.",Shot,Shot glass,Goldschlager,Butterscotch schnapps,Milk,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,
Mudslinger,Add all contents to a large jug or punch bowl. Stir well!,Punch / Party Drink,Punch bowl,Southern Comfort,Orange juice,Pepsi Cola,,,,,,,,,,750 ml ,1 L ,750 ml , , , , , ,,,,
Mulled Wine,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",Punch / Party Drink,Collins Glass,Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,,,,,,3 cups ,1 cup ,12,2,1,750 ml ,1/4 cup , , , , , 
National Aquarium,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Ordinary Drink,Collins Glass,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash , , , , , ,
Negroni,"Stir into glass over ice, garnish and serve.",Ordinary Drink,Old-fashioned glass,Gin,Campari,Sweet Vermouth,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,
New York Lemonade,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,Cocktail,Cocktail glass,Absolut Citron,Grand Marnier,Lemon juice,Club soda,,,,,,,,,2 oz ,1 oz ,2 oz sweetened ,1 oz , , , , , ,,,
New York Sour,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",Ordinary Drink,Whiskey sour glass,Blended whiskey,Lemon,Sugar,Red wine,Lemon,Cherry,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ," (Claret)
","
","
","
","
","
","
","
",
Nuked Hot Chocolate,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",Cocoa,Coffee mug,Cocoa powder,Sugar,Vanilla extract,Milk,,,,,,,,,2 tsp ,1 tsp ,1/2 tsp ,12 oz , , , , , ,,,
Nutty Irishman,Serve over ice,Milk / Float / Shake,Highball Glass,Bailey's irish cream,Frangelico,Milk,,,,,,,,,,1 part ,1 part ,1 part , , , , , ,,,,
Old Fashioned,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",Cocktail,Old-fashioned glass,Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,4.5 cL,2 dashes,1 cube,dash,,,,,,,,
Orange Crush,Add all ingredients to tumbler-Pour as shot,Shot,Shot glass,Vodka,Triple sec,Orange juice,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,
Orange Oasis,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",Ordinary Drink,Highball glass,Cherry brandy,Gin,Orange juice,Ginger ale,,,,,,,,,1/2 oz ,1 1/2 oz ,4 oz ,"
","
","
","
","
","
",,,
Orange Push-up,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,Ordinary Drink,Hurricane glass,Spiced rum,Grenadine,Orange juice,Sour mix,,,,,,,,,1.5 oz ,0.5 oz ,4 oz ,1 splash , , , , , ,,,
Orange Scented Hot Chocolate,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",Cocoa,Coffee mug,Milk,Chocolate,Orange peel,Espresso,Nutmeg,,,,,,,,2 cups ,4 oz chopped bittersweet or semi-sweet ,3 2-inch strips ,1/2 tsp instant ,1/8 tsp ground , , , , , ,,
Orange Whip,Pour ingredients over ice and stir.,Other/Unknown,Collins Glass,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over , , , , , ,,
Orangeade,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",Cocktail,Highball glass,Lemon juice,Orange juice,Sugar syrup,Soda water,,,,,,,,,5 cl ,15 cl ,2-3 cl ,"
","
","
","
","
","
",,,
Oreo Mudslide,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Ordinary Drink,Collins Glass,Vodka,Kahlua,Bailey's irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,1 oz ,1 oz ,1 oz ,2 scoops ,1, , , , , ,,
Orgasm,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,,,,1/2 oz white ,1/2 oz ,1/2 oz ,1/2 oz ,1 oz , , , , , ,,
Owen's Grandmother's Revenge,Add ingredients and mix in blender.,Ordinary Drink,Highball glass,Whiskey,Beer,Lemonade,Ice,,,,,,,,,12 oz ,12 oz ,12 oz frozen ,1 cup crushed , , , , , ,,,
Paradise,Shake together over ice. Strain into cocktail glass and serve chilled.,Ordinary Drink,Cocktail glass,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,7 parts,4 parts,3 parts , , , , ,,,,,
Pina Colada,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",Ordinary Drink,Collins glass,Light rum,Coconut milk,Pineapple,,,,,,,,,,3 oz ,3 tblsp ,3 tblsp , , , , , ,,,,
Pineapple Gingerale Smoothie,Throw everything into a blender and liquify.,Other/Unknown,Highball Glass,Ginger,Pineapple,,,,,,,,,,,1/4 inch ,01-Feb, , , , , ,,,,,
Pink Gin,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",Ordinary Drink,White wine glass,Bitters,Gin,,,,,,,,,,,3 dashes ,2 oz , , , , , ,,,,,
Pink Lady,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Gin,Grenadine,Light cream,Egg white,,,,,,,,,1 1/2 oz ,1 tsp ,1 tsp ,1, , , , , ,,,
Pink Panty Pulldowns,Shake well,Ordinary Drink,Collins Glass,Sprite,Pink lemonade,Vodka,,,,,,,,,,1 L ,2 cups ,2 cups , , , , , ,,,,
Pink Penocha,mix all ingredients into bowl keep iced stir frequently,Punch / Party Drink,Punch bowl,Everclear,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,750 ml ,1750 ml ,1750 ml ,1 gal ,1 gal , , , , , ,,
Pisco Sour,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",Cocktail,Cocktail glass,Pisco,Lemon juice,Sugar,Ice,,,,,,,,,2 oz ,1 oz ,1-2 tblsp ,,,,,,,,,
Planter's Punch,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",Punch / Party Drink,Collins glass,Dark rum,Orgeat syrup,Orange juice,Pineapple juice,,,,,,,,,1 part ,1/2 part ,2 parts ,1 part , , , , , ,,,
Popped cherry,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Ordinary Drink,Highball glass,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,2 oz ,2 oz ,4 oz ,4 oz , , , , , ,,,
Poppy Cocktail,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Gin,Creme de Cacao,,,,,,,,,,,1 1/2 oz ,3/4 oz white , , , , , ,,,,,
Port And Starboard,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",Ordinary Drink,Pousse cafe glass,Grenadine,Green Creme de Menthe,,,,,,,,,,,1 tblsp ,1/2 oz , , , , , ,,,,,
Port Wine Cocktail,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Port,Brandy,,,,,,,,,,,2 1/2 oz ,1/2 tsp , , , , , ,,,,,
Port Wine Flip,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Ordinary Drink,Whiskey sour glass,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,1 1/2 oz ,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
","
",,
Porto flip,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Ordinary Drink,Cocktail glass,Brandy,Port,Egg Yolk,,,,,,,,,,3 parts,9 parts,2 parts, , , , , ,,,,
Pysch Vitamin Light,Shake with ice.,Ordinary Drink,Collins Glass,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,,,,1 part ,1 part ,1 part ,"
","
","
","
","
","
",,,
Quaker's Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/4 ,2 tsp , , , , , ,,,
Quarter Deck Cocktail,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Light rum,Sherry,Lime,,,,,,,,,,1 1/2,1/3 oz cream ,Juice of 1/2 , , , , , ,,,,
Queen Bee,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Coffee brandy,Lime vodka,Sherry,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz cream , , , , , ,,,,
Queen Charlotte,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",Ordinary Drink,Collins glass,Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,2 oz ,1 oz ,"
","
","
","
","
","
",,,,
Queen Elizabeth,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Dry Vermouth,Gin,Benedictine,,,,,,,,,,1/2 oz ,1 1/2 oz ,1 1/2 tsp , , , , , ,,,,
Quentin,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",Ordinary Drink,Cocktail glass,Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,1/8 tsp grated , , , , , ,,,
Quick F**K,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",Shot,Shot glass,Kahlua,Midori melon liqueur,Bailey's irish cream,,,,,,,,,,1 part ,1 part ,1 part , , , , , ,,,,
Quick-sand,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",Ordinary Drink,Highball glass,Black Sambuca,Orange juice,,,,,,,,,,,25 ml ,Add 250 ml , , , , , ,,,,,
Radioactive Long Island Iced Tea,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Ordinary Drink,Collins Glass,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz , , , , 
Radler,"Pour beer into large mug, slowly add the 7-up (or Sprite).",Ordinary Drink,Highball glass,Beer,7-Up,,,,,,,,,,,12 oz ,12 oz , , , , , ,,,,,
Rail Splitter,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,Cocktail,Highball glass,Sugar syrup,Lemon juice,Ginger ale,,,,,,,,,,2 tsp ,"
", , , , , ,,,,,
Raspberry Cooler,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,Other/Unknown,Highball glass,Raspberry vodka,Lemon-lime soda,Ice,,,,,,,,,,2 oz ,4 oz ,"
","
","
","
","
","
",,,,
Red Snapper,"One shot each, shake n shoot",Shot,Old-fashioned glass,Crown Royal,Amaretto,Cranberry juice,,,,,,,,,,1 shot ,1 shot ,1 shot , , , , , ,,,,
Rose,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",Ordinary Drink,Cocktail glass,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1/2 tsp ,1 tsp ,,,,,,,
Royal Bitch,Into a shot glass layer the Crown Royal on top of the Frangelico.,Shot,Shot glass,Frangelico,Crown Royal,,,,,,,,,,,1 part ,1 part , , , , , ,,,,,
Royal Fizz,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,Ordinary Drink,Collins glass,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,1 oz ,2 oz ,1 whole ,"
","
","
","
","
","
",,,
Royal Flush,Pour all the ingredients into tumbler over ice. Strain into glass.,Shot,Old-fashioned glass,Crown Royal,Peach schnapps,Chambord raspberry liqueur,Cranberry juice,,,,,,,,,1 1/2 oz ,1 oz ,1/2 oz ,1 oz , , , , , ,,,
Royal Gin Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Ordinary Drink,Highball glass,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 whole ,"
","
","
","
","
","
",,
Ruby Tuesday,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,Cocktail,Highball glass,Gin,Cranberry juice,Grenadine,,,,,,,,,,2 oz ,5 oz ,2 splashes , , , , , ,,,,
Rum Cobbler,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",Ordinary Drink,Old-fashioned glass,Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,,,,1 tsp superfine ,3 oz ,1,2 oz ,1,1, , , , , ,
Rum Cooler,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,Ordinary Drink,Collins glass,Rum,Lemon-lime soda,Lemon,,,,,,,,,,2 oz light or dark ,4 oz ,1, , , , , ,,,,
Rum Milk Punch,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,Ordinary Drink,Collins glass,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,2 oz ,1 cup ,1 tsp ,"
","
","
","
","
","
",,,
Rum Old-fashioned,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",Ordinary Drink,Old-fashioned glass,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,,,,1 1/2 oz ,1 tsp ,1/2 tsp ,1 dash ,1 tsp ,Twist of , , , , , ,
Rum Punch,Mix all ingredients in a punch bowl and serve.,Punch / Party Drink,Punch bowl,Rum,Ginger ale,Fruit punch,Orange juice,Ice,,,,,,,,mikey bottle ,large bottle ,355 ml frozen ,355 ml frozen ,crushed , , , , , ,,
Rum Runner,Mix all ingredients in glass & add ice.,Punch / Party Drink,Cocktail glass,Malibu rum,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,,,,,,,1 1/2 oz ,1 oz ,3-4 oz ,3-4 oz ,3-4 oz , , , , , ,,
Rum Screwdriver,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Ordinary Drink,Highball glass,Light rum,Orange juice,,,,,,,,,,,1 1/2 oz ,5 oz , , , , , ,,,,,
Rum Sour,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Ordinary Drink,Whiskey sour glass,Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1,1, , , , , ,,
Rum Toddy,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Ordinary Drink,Old-fashioned glass,Rum,Powdered sugar,Lemon peel,Water,,,,,,,,,2 oz light or dark ,2 tsp ,1 twist of ,2 tsp , , , , , ,,,
Russian Spring Punch,"Pour the ingredients into an highball glass, top with Sparkling wine.",Ordinary Drink,Highball glass,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,, , ,,,,,
Rusty Nail,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Ordinary Drink,Old-fashioned glass,Scotch,Drambuie,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 twist of , , , , , ,,,,
Salty Dog,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",Ordinary Drink,Highball glass,Grapefruit juice,Gin,Salt,,,,,,,,,,5 oz ,1 1/2 oz ,1/4 tsp , , , , , ,,,,
San Francisco,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",Ordinary Drink,Highball glass,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,2 cl ,2 cl ,"
", , , , , ,,,,
Sangria #1,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,Punch / Party Drink,Pitcher,Red wine,Sugar,Orange juice,Lemon juice,Cloves,Cinnamon,,,,,,,1 bottle ,1/2 cup ,1 cup ,1 cup ,"
", , , , , ,,
Sangria - The World's Best,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",Punch / Party Drink,Pitcher,Red wine,Sugar,Lemon,Orange,Apple,Brandy,Soda water,,,,,,1 1/2 L ,1 cup ,1 large ,1 large ,1 large ,3-4 oz plain ,"
","
","
","
","
","
"
Sazerac,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",Ordinary Drink,Old-fashioned glass,Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,,,,1 tsp ,1/2 tsp superfine ,2 dashes ,1 tsp ,2 oz ,1 twist of , , , , , ,
Scooter,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Brandy,Amaretto,Light cream,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,
Scotch Cobbler,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",Ordinary Drink,Old-fashioned glass,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1, , , , , ,,
Scotch Sour,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",Ordinary Drink,Whiskey sour glass,Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1, , , , , ,,
Scottish Highland Liqueur,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",Homemade Liqueur,Collins Glass,Johnnie Walker,Honey,Angelica root,Fennel seeds,Lemon peel,,,,,,,,1 fifth ,1 1/2 cup mild ,2 tsp dried and chopped ,1/4 tsp crushed ,2 2 inch strips , , , , , ,,
Screaming Orgasm,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",Ordinary Drink,Cocktail glass,Vodka,Bailey's irish cream,Kahlua,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz , , , , , ,,,,
Screwdriver,Mix in a highball glass with ice. Garnish and serve.,Ordinary Drink,Highball glass,Vodka,Orange juice,,,,,,,,,,,2 oz ,,,,,,,,,,,
Sea breeze,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Ordinary Drink,Highball glass,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,1 1/2 oz ,4 oz ,1 oz , , , , , ,,,,
Sex on the Beach,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Ordinary Drink,Highball glass,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,1 oz ,3/4 oz ,, , , , , ,,,,
Shanghai Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Light rum,Anisette,Grenadine,Lemon,,,,,,,,,1 oz Jamaican ,1 tsp ,1/2 tsp ,Juice of 1/4 , , , , , ,,,
Shark Attack,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,Cocktail,Pitcher,Lemonade,Water,Vodka,,,,,,,,,,1 can ,3 cans ,1 1/2 cup , , , , , ,,,,
Sherry Eggnog,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",Ordinary Drink,Collins glass,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,2 oz cream ,1 tsp ,1 whole ,"
", , , , , ,,,
Sherry Flip,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Ordinary Drink,Whiskey sour glass,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,1 1/2 oz cream ,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
","
",,
Shot-gun,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,Shot,Shot glass,Jim Beam,Jack Daniels,Wild Turkey,,,,,,,,,,1 part ,1 part ,1 oz , , , , , ,,,,
Sidecar,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,Ordinary Drink,Cocktail glass,Cognac,Cointreau,Lemon juice,,,,,,,,,,2 oz ,1/2 oz ,1 oz , , , , , ,,,,
Sidecar Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Brandy,Triple sec,Lemon,,,,,,,,,,1 oz ,1/2 oz ,Juice of 1/4 , , , , , ,,,,
Singapore Sling,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,Ordinary Drink,Hurricane glass,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,,,,1/2 oz ,1/2 oz ,1 oz ,2 oz ,,,,,,,,
Sloe Gin Cocktail,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Sloe gin,Dry Vermouth,Orange bitters,,,,,,,,,,2 oz ,1/4 tsp ,1 dash , , , , , ,,,,
Smut,Throw it all together and serve real cold.,Punch / Party Drink,Beer mug,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,,,,,,,1/3 part ,1 shot ,1/3 part ,1/3 part , , , , , ,,,
Snake Bite (UK),Pour ingredients into a pint glass. Drink. Fall over.,Beer,Pint glass,Lager,Cider,,,,,,,,,,,1/2 pint ,1/2 pint sweet or dry , , , , , ,,,,,
Snakebite and Black,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,Beer,Pint glass,Lager,Cider,Blackcurrant squash,,,,,,,,,,1/2 pint ,1/2 pint ,A little bit of , , , , , ,,,,
Snowball,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,Ordinary Drink,Highball glass,Advocaat,Lemonade,Lemon,Ice,,,,,,,,,1 1/2 oz ,8-10 oz cold ,1 slice ," cubes
","
","
","
","
","
",,,
Sol Y Sombra,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",Ordinary Drink,Brandy snifter,Brandy,Anisette,,,,,,,,,,,1 1/2 oz ,1 1/2 oz , , , , , ,,,,,
Space Odyssey,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,Ordinary Drink,Highball glass,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,1 shot Bacardi ,1 shot ,1 shot ,"
","
", , , , , ,,
Spanish chocolate,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",Cocoa,Coffee mug,Milk,Chocolate,Cinnamon,Egg yolk,,,,,,,,,2 cups ,2 oz sweet ,1/2 tsp ,2 beaten , , , , , ,,,
Spiced Peach Punch,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",Punch / Party Drink,Collins Glass,Peach nectar,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,,,,46 oz ,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp , , , , , ,
Spiking coffee,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",Coffee / Tea,Coffee mug,Coffee,Cinnamon,,,,,,,,,,,"
", , , , , ,,,,,,
Spritz,"Build into glass over ice, garnish and serve.",Ordinary Drink,Old-Fashioned glass,Prosecco,Campari,Soda Water,,,,,,,,,,6 cl,4 cl,splash,,, , ,,,,,
Stinger,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",Ordinary Drink,Cocktail glass,Brandy,White Creme de Menthe,,,,,,,,,,,1 1/2 oz ,1/2 oz , , , , , ,,,,,
